,distance,experiment,rx_label,tx_label,run,mean,trim_mean,median,std,dis1,dis2,conteo,cv,q1,q3,q3q1_ran,max,min,range,skew,kur,len
3668,3.0,X-d3.0m0dbm_in_R-4_bluetooth_le_null_D.csv,D,C,79,-76.74666666666667,-76.58333333333333,-76.0,1.9397136100179573,1.659022222222223,1.44,9.0,-0.025274239185432035,-79.0,-75.0,4.0,-74.0,-82.0,8.0,-0.7539466727910806,-0.7543941472310451,150
3669,3.0,X-d3.0m0dbm_in_R-5_bluetooth_le_null_A.csv,A,B,59,-64.89333333333333,-63.983333333333334,-59.0,9.18342468194132,8.647288888888884,7.026666666666666,12.0,-0.14151568751707397,-76.0,-58.0,18.0,-57.0,-82.0,25.0,-0.6746168653322192,-1.4414584377114752,150
3670,3.0,X-d3.0m0dbm_in_R-5_bluetooth_le_null_B.csv,B,A,59,-51.593333333333334,-51.19166666666667,-51.0,2.2718470214538873,0.9572444444444447,0.5933333333333334,5.0,-0.044033732164114624,-51.0,-51.0,0.0,-51.0,-70.0,19.0,-7.132849497996699,54.51243010585923,150
3671,3.0,X-d3.0m0dbm_in_R-5_bluetooth_le_null_D.csv,D,C,80,-76.03333333333333,-75.89166666666667,-76.0,1.3085190950926993,0.9933333333333326,0.98,6.0,-0.017209808352819368,-77.0,-75.0,2.0,-74.0,-84.0,10.0,-1.8130410813922464,7.301277940068587,150
3672,3.0,X-d3.0m0dbm_in_R-6_bluetooth_le_null_A.csv,A,B,60,-68.81333333333333,-68.65833333333333,-70.0,4.9643887393671715,4.402311111111113,4.133333333333334,9.0,-0.07214283190322376,-73.0,-63.0,10.0,-62.0,-78.0,16.0,0.026963020897181503,-1.2761092233387046,150
3673,3.0,X-d3.0m0dbm_in_R-6_bluetooth_le_null_B.csv,B,A,60,-62.68,-62.68333333333333,-63.0,3.0360500654633484,1.9647999999999968,1.76,9.0,-0.04843730161875157,-64.0,-63.0,1.0,-57.0,-72.0,15.0,0.3043883172313496,0.6780542334941635,150
3674,3.0,X-d3.0m0dbm_in_R-7_bluetooth_le_null_A.csv,A,B,61,-68.14,-67.85,-68.0,2.2480510077249893,1.8669333333333331,1.8333333333333333,10.0,-0.032991649658423675,-70.0,-66.0,4.0,-65.0,-75.0,10.0,-0.867409942628302,0.19809316130650645,150
3675,3.0,X-d3.0m0dbm_in_R-7_bluetooth_le_null_B.csv,B,A,61,-60.36666666666667,-59.93333333333333,-60.0,2.0474916903914937,1.50977777777778,1.3533333333333333,9.0,-0.03391758736153772,-61.0,-59.0,2.0,-59.0,-68.0,9.0,-1.9928753869088018,3.9325784099768955,150
3676,3.0,X-d3.0m0dbm_in_R-8_bluetooth_le_null_A.csv,A,B,62,-70.87333333333333,-70.50833333333334,-70.0,4.4381627830543655,3.7347555555555556,3.6066666666666665,12.0,-0.06262105328361911,-73.0,-67.0,6.0,-65.0,-79.0,14.0,-0.6360155438757282,-0.8356079780222871,150
3677,3.0,X-d3.0m0dbm_in_R-8_bluetooth_le_null_B.csv,B,A,62,-59.182539682539684,-58.833333333333336,-59.0,2.6767689408521993,1.1743512219702723,1.0555555555555556,8.0,-0.045229031319213776,-59.0,-58.0,1.0,-57.0,-85.0,28.0,-7.225815407331304,65.9448355370602,150
3678,3.0,X-d3.0m0dbm_in_R-9_bluetooth_le_null_A.csv,A,B,63,-60.18,-59.891666666666666,-59.0,2.34398521041978,2.0304000000000024,1.8866666666666667,7.0,-0.03894957145928514,-62.0,-58.0,4.0,-58.0,-65.0,7.0,-0.7770532041511591,-0.7694909474953042,150
3679,3.0,X-d3.0m0dbm_in_R-9_bluetooth_le_null_B.csv,B,A,63,-51.64,-51.416666666666664,-51.0,0.9884668262853665,0.7253333333333334,0.64,6.0,-0.019141495474155047,-52.0,-51.0,1.0,-51.0,-56.0,5.0,-2.2177391428405206,5.35316057569459,150
3680,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,1,-72.30666666666667,-71.925,-71.0,2.029603135809774,1.5573333333333366,1.32,7.0,-0.02806937768499595,-72.0,-71.0,1.0,-70.0,-77.0,7.0,-1.4314992651252803,0.40861752395378703,150
